iter	Passed	Remaining
0	5	5322
1	9	4770
2	14	4682
3	16	4069
4	18	3690
5	20	3431
6	22	3254
7	25	3179
8	27	3025
9	29	2889
10	30	2765
11	32	2663
12	33	2554
13	35	2469
14	36	2396
15	37	2333
16	39	2256
17	40	2215
18	41	2162
19	42	2105
20	44	2052
21	45	2003
22	46	1954
23	47	1912
24	48	1872
25	49	1838
26	50	1804
27	50	1768
28	51	1730
29	52	1698
30	53	1672
31	54	1659
32	55	1639
33	56	1616
34	57	1596
35	58	1576
36	59	1555
37	60	1537
38	61	1520
39	62	1502
40	63	1486
41	64	1472
42	65	1456
43	66	1441
44	67	1428
45	68	1418
46	70	1425
47	71	1417
48	72	1404
49	73	1393
50	74	1381
51	75	1369
52	75	1357
53	76	1347
54	77	1336
55	78	1325
56	79	1314
57	80	1304
58	81	1295
59	82	1288
60	83	1279
61	84	1275
62	85	1269
63	86	1260
64	87	1253
65	88	1247
66	89	1242
67	90	1237
68	91	1230
69	91	1221
70	92	1212
71	93	1203
72	94	1195
73	94	1186
74	95	1178
75	96	1170
76	96	1161
77	97	1153
78	98	1149
79	99	1144
80	100	1136
81	101	1131
82	101	1121
83	102	1115
84	103	1109
85	103	1102
86	104	1096
87	105	1090
88	105	1084
89	106	1078
90	107	1072
91	108	1066
92	108	1061
93	109	1056
94	110	1050
95	110	1044
96	111	1039
97	112	1035
98	113	1034
99	114	1031
100	115	1027
101	116	1023
102	116	1018
103	117	1013
104	118	1009
105	119	1004
106	119	1000
107	120	996
108	121	991
109	122	987
110	122	983
111	123	980
112	124	976
113	125	972
114	125	968
115	126	964
116	127	960
117	128	960
118	129	956
119	129	953
120	130	949
121	131	945
122	132	941
123	132	938
124	133	934
125	134	931
126	134	926
127	135	923
128	136	920
129	137	917
130	137	913
131	138	910
132	139	907
133	139	904
134	140	901
135	141	898
136	143	903
137	144	902
138	145	899
139	146	897
140	146	894
141	147	890
142	148	888
143	149	885
144	149	882
145	150	880
146	151	877
147	151	874
148	152	871
149	153	868
150	154	866
151	154	863
152	155	861
153	156	858
154	157	858
155	158	858
156	159	857
157	160	855
158	161	854
159	162	852
160	163	849
161	163	847
162	164	844
163	165	842
164	165	839
165	166	837
166	167	835
167	168	832
168	168	830
169	169	827
170	170	825
171	171	823
172	172	822
173	173	822
174	174	820
175	174	819
176	175	816
177	176	815
178	177	813
179	178	810
180	178	808
181	179	806
182	180	804
183	180	802
184	181	799
185	182	797
186	183	796
187	183	793
188	184	791
189	185	789
190	186	787
191	187	787
192	188	786
193	188	785
194	189	783
195	190	781
196	191	779
197	191	777
198	192	776
199	193	774
200	194	772
201	195	770
202	195	768
203	196	766
204	197	764
205	197	762
206	198	760
207	199	759
208	200	757
209	200	755
210	201	755
211	202	754
212	203	752
213	204	750
214	205	749
215	205	747
216	206	745
217	207	743
218	207	741
219	208	739
220	209	738
221	210	736
222	210	734
223	211	733
224	212	731
225	213	729
226	213	728
227	214	727
228	215	725
229	216	724
230	217	723
231	218	722
232	218	720
233	219	718
234	220	717
235	221	715
236	221	713
237	222	712
238	223	710
239	224	709
240	224	707
241	225	706
242	226	705
243	227	703
244	227	701
245	228	700
246	229	699
247	229	697
248	230	695
249	231	695
250	232	694
251	233	692
252	234	691
253	234	689
254	235	688
255	236	686
256	237	685
257	237	684
258	238	682
259	239	681
260	240	680
261	241	679
262	241	677
263	242	676
264	243	674
265	244	673
266	244	672
267	245	670
268	246	670
269	247	669
270	248	668
271	249	666
272	249	665
273	250	664
274	251	662
275	252	661
276	252	660
277	253	658
278	254	657
279	255	656
280	256	655
281	257	654
282	258	653
283	258	652
284	259	651
285	260	650
286	261	650
287	262	650
288	263	649
289	264	648
290	265	647
291	266	645
292	267	644
293	267	643
294	268	642
295	269	640
296	270	639
297	271	638
298	271	637
299	272	635
300	273	634
301	274	633
302	274	632
303	275	631
304	277	631
305	277	630
306	278	629
307	279	627
308	280	626
309	280	625
310	281	623
311	282	622
312	282	621
313	283	619
314	284	618
315	285	617
316	286	616
317	286	615
318	287	613
319	288	612
320	288	611
321	289	610
322	290	609
323	291	608
324	292	607
325	293	606
326	293	605
327	294	603
328	295	602
329	296	601
330	296	600
331	297	598
332	298	597
333	299	596
334	299	595
335	300	594
336	301	593
337	302	591
338	302	590
339	303	589
340	304	588
341	305	587
342	306	586
343	307	585
344	307	584
345	308	583
346	309	582
347	310	580
348	310	579
349	311	578
350	312	577
351	312	575
352	313	574
353	314	573
354	314	572
355	315	570
356	316	569
357	317	568
358	317	567
359	318	566
360	319	565
361	320	565
362	321	564
363	322	563
364	323	562
365	324	561
366	325	561
367	326	560
368	326	558
369	327	557
370	328	556
371	329	555
372	329	554
373	330	553
374	331	552
375	332	551
376	332	549
377	333	548
378	334	547
379	335	547
380	336	546
381	337	545
382	337	544
383	338	543
384	339	542
385	340	541
386	341	540
387	342	539
388	343	538
389	343	537
390	344	536
391	345	535
392	346	534
393	347	533
394	347	532
395	348	531
396	349	530
397	350	529
398	351	529
399	352	528
400	353	527
401	354	526
402	354	525
403	355	525
404	356	524
405	357	522
406	358	521
407	358	520
408	359	519
409	360	518
410	361	517
411	361	516
412	362	515
413	363	514
414	364	513
415	365	512
416	366	512
417	367	511
418	367	510
419	368	509
420	369	508
421	370	507
422	371	506
423	371	505
424	372	504
425	373	503
426	374	502
427	374	501
428	375	499
429	376	498
430	377	498
431	378	497
432	378	495
433	379	495
434	380	494
435	381	493
436	382	492
437	383	491
438	383	490
439	384	489
440	385	488
441	386	487
442	387	486
443	387	485
444	388	484
445	389	483
446	390	483
447	391	482
448	391	480
449	392	479
450	393	479
451	394	478
452	395	478
