iter	Passed	Remaining
0	1	130
1	2	131
2	4	134
3	5	129
4	7	136
5	9	150
6	11	147
7	12	141
8	13	137
9	15	135
10	16	131
11	17	127
12	18	124
13	21	129
14	22	129
15	24	130
16	26	127
17	27	124
18	28	121
19	29	119
20	31	117
21	32	116
22	35	119
23	37	118
24	38	115
25	39	113
26	41	111
27	42	109
28	43	107
29	46	107
30	48	107
31	49	106
32	51	105
33	53	103
34	54	101
35	99	176
36	101	172
37	102	167
38	104	163
39	108	163
40	113	163
41	115	160
42	123	163
43	125	159
44	127	155
45	129	151
46	130	147
47	134	145
48	135	141
49	137	137
50	138	133
51	140	129
52	141	125
53	144	123
54	146	120
55	148	116
56	149	113
57	151	109
58	153	106
59	154	102
60	156	100
61	160	98
62	161	94
63	163	91
64	164	88
65	166	85
66	167	82
67	171	80
68	173	77
69	174	74
70	176	71
71	177	69
72	179	66
73	180	63
74	184	61
75	186	59
76	188	56
77	189	53
78	191	50
79	193	48
80	197	46
81	199	43
82	201	41
83	202	38
84	204	36
85	208	34
86	210	31
87	211	28
88	213	26
89	214	23
90	216	21
91	219	19
92	222	16
93	224	14
94	225	11
95	227	9
96	228	7
97	230	4
98	233	2
99	236	0
